pt_mu1,pt_mu2,pt_fjt,M_fjt,S_T,MET,DR_fjt_mu1,DR_fjt_mu2,DR_mu1_mu2
67.4049,30.3183,57.3538,16.1346,157.402,17.1378,2.94596,1.68852,2.76932
99.9703,30.3007,98.9895,20.9789,251.946,9.46439,2.68298,2.71477,1.57483
116.258,21.0589,59.9258,4.80071,241.438,7.87733,3.53368,2.10705,2.23917
65.882,48.9343,75.0198,29.1262,228.358,24.6192,2.27672,2.32653,1.55799
57.0386,47.3957,70.965,5.31003,214.125,11.0527,2.93711,0.567492,2.79097
57.0492,47.4525,82.5996,5.65211,186.973,7.87652,2.15871,2.601,1.91662
80.734,23.3942,79.2859,5.94602,181.777,16.8774,2.26628,2.161,2.69674
40.6836,34.5047,71.5752,15.2907,179.846,12.2411,3.10747,3.74695,2.1789
42.0744,29.0979,86.7378,16.5739,213.062,13.4867,1.99392,2.17837,2.17469
75.8397,31.8853,64.4005,15.6184,171.228,15.5515,3.05128,1.61108,2.55169
54.3279,36.1102,55.5917,17.2338,145.705,21.666,3.16272,2.2287,2.4039
78.2505,65.0359,68.7467,14.1981,303.16,17.3737,3.72482,2.42767,1.44631
92.304,45.3132,86.7982,27.1906,215.109,14.4101,2.94364,3.03849,1.2268
168.94,25.9553,112.511,33.8485,458.857,26.0788,2.41753,2.47688,1.49692
48.7173,30.0473,73.0481,10.4279,160.847,25.3061,2.90222,1.52178,2.54462
145.578,44.6153,174.772,15.6911,468.812,5.37348,3.06478,2.34361,1.1284
50.398,36.922,54.9671,8.28022,149.229,6.27663,2.63978,2.96197,1.96498
91.5725,56.7936,116.725,28.0276,323.576,4.74248,2.72844,2.91337,1.24406
58.191,51.7412,79.6039,17.693,269.49,12.4796,2.4465,3.05656,1.79351
63.5488,53.0277,67.3533,5.88394,230.804,1.12231,3.02749,1.68412,1.72793
48.5127,34.0768,57.8898,6.22106,147.391,8.06144,2.6214,2.42957,2.21236
65.2177,31.7587,67.4016,10.8748,191.196,14.4981,3.70135,2.17586,2.80146
87.4833,45.0134,63.4165,13.7351,258.832,16.9578,1.76784,2.85594,1.69121
89.4126,37.263,99.2502,22.355,225.05,14.7834,3.13939,2.12301,1.6352
185.388,136.651,277.477,36.7803,858.905,2.43687,2.97001,2.40885,0.585776
47.0755,24.4092,67.1407,5.53699,195.042,11.4412,3.52617,3.97002,2.62714
52.4295,42.3666,45.8698,12.4455,142.28,4.06422,2.43754,2.01732,2.12018
64.0793,29.732,60.2883,14.4343,264.032,14.0324,1.67369,2.65723,2.51177
40.4345,22.7906,61.5507,19.4847,248.432,23.2204,1.42107,1.74465,2.41067
78.9408,70.8263,90.7097,16.9499,240.281,6.62421,2.35622,2.75929,1.21882
97.1285,22.7797,77.4754,15.9904,323.066,6.62337,4.20117,3.63111,2.33342
52.601,42.4316,44.2579,9.14229,180.379,13.9017,2.14957,2.30256,2.25603
77.2993,26.1337,88.5869,27.6217,326.349,9.45712,3.37134,3.28466,1.87994
106.99,45.0975,114.494,30.9542,305.432,14.7821,2.62081,3.64057,1.24479
44.8722,31.3404,67.7008,5.83213,213.644,5.76841,2.99304,3.72445,2.10059
72.6251,64.2087,252.089,16.0255,542.787,63.0576,3.50991,2.15034,1.3666
51.5284,21.0417,42.4866,10.0485,145.773,7.72578,2.95973,2.71143,2.40514
64.8213,35.9568,54.3861,11.3812,160.794,4.56922,2.59932,1.70107,2.23712
